STT;Tên VB;Số hiệu;Status
218;Luật Hải quan;54/2014/QH13;Văn bản hết hiệu lực một phần
219;Luật Xây dựng;50/2014/QH13;Văn bản hết hiệu lực một phần
220;Luật sửa đổi, bổ sung một số điều của Luật Giao thông đường thủy nội địa;48/2014/QH13;Văn bản hết hiệu lực một phần
221;Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam;47/2014/QH13;Văn bản hết hiệu lực một phần
222;Luật Thực hành tiết kiệm, chống lãng phí;44/2013/QH13;Văn bản hết hiệu lực một phần
223;Luật Khoa học và công nghệ;29/2013/QH13;Văn bản hết hiệu lực một phần
224;Luật Phòng chống thiên tai;33/2013/QH13;Văn bản hết hiệu lực một phần
225;Luật sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp;32/2013/QH13;Văn bản hết hiệu lực một phần
226;Luật Giáo dục quốc phòng và an ninh;30/2013/QH13;Văn bản hết hiệu lực một phần
227;Luật sửa đổi, bổ sung một số điều của Luật Thuế thu nhập cá nhân;26/2012/QH13;Văn bản hết hiệu lực một phần
228;Luật Dự trữ quốc gia;22/2012/QH13;Văn bản hết hiệu lực một phần
229;Luật sửa đổi, bổ sung một số điều của Luật Luật sư;20/2012/QH13;Văn bản hết hiệu lực một phần
230;Luật Xử lý vi phạm hành chính;15/2012/QH13;Văn bản hết hiệu lực một phần
231;Luật Giám định tư pháp;13/2012/QH13;Văn bản hết hiệu lực một phần
232;Luật Phòng chống tác hại của thuốc lá;09/2012/QH13;Văn bản hết hiệu lực một phần
233;Luật Giáo dục đại học;08/2012/QH13;Văn bản hết hiệu lực một phần
234;Luật Bảo hiểm tiền gửi;06/2012/QH13;Văn bản hết hiệu lực một phần
235;Luật Đo lường;04/2011/QH13;Văn bản hết hiệu lực một phần
236;Luật Khiếu nại;02/2011/QH13;Văn bản hết hiệu lực một phần
237;Luật Kiểm toán độc lập;67/2011/QH12;Văn bản hết hiệu lực một phần
